track_name,track_artist,track_album_name,track_href,uri
Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",Piece of My Heart (feat. Brent Faiyaz),https://api.spotify.com/v1/tracks/2nYeyMeqYDiFSYYtl2BWD6,spotify:track:2nYeyMeqYDiFSYYtl2BWD6
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,spotify:track:1cOboCuWYI2osTOfolMRS6
Después De La 1,"Cris Mj, FloyyMenor, LOUKI",MJ,https://api.spotify.com/v1/tracks/6PhRhocBXP4y7NpciGmzra,spotify:track:6PhRhocBXP4y7NpciGmzra
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,spotify:track:0l0vcZMU7AOeQmUIREoI2U
Imagínate,"Danny Ocean, Kapo",Imagínate,https://api.spotify.com/v1/tracks/4zbEItKoaRId1vRZkoO0Uh,spotify:track:4zbEItKoaRId1vRZkoO0Uh
Kamikaze (feat. Victor Mendivil),"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",Kamikaze (feat. Victor Mendivil),https://api.spotify.com/v1/tracks/6fKvGaO8Dfntvx4thaXtak,spotify:track:6fKvGaO8Dfntvx4thaXtak
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k
DEPORTIVO,"Blessd, Anuel AA",DEPORTIVO,https://api.spotify.com/v1/tracks/0fKK51bU6lcCCwdNnv64t3,spotify:track:0fKK51bU6lcCCwdNnv64t3
SEXO ES LA MODA,"Maria Becerra, Yandel",SEXO ES LA MODA,https://api.spotify.com/v1/tracks/4U80gkwi6Qk0fBRcDuzn3E,spotify:track:4U80gkwi6Qk0fBRcDuzn3E
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP,spotify:track:3mg9jYNC1NihbthlglzrWP
Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,https://api.spotify.com/v1/tracks/1YYfyJ2yCvGFCxwjsIqEK9,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9
Nueva Era,"Duki, Myke Towers",AMERI,https://api.spotify.com/v1/tracks/03IpZ9yqJlo3EIgDQUgBSF,spotify:track:03IpZ9yqJlo3EIgDQUgBSF
PELIGROSA,FloyyMenor,PELIGROSA,https://api.spotify.com/v1/tracks/5PCGEfALcpGtURIuTqvX0R,spotify:track:5PCGEfALcpGtURIuTqvX0R
DURO,Quevedo,DURO,https://api.spotify.com/v1/tracks/1kyLInQ2qgYbK4wZxllfV2,spotify:track:1kyLInQ2qgYbK4wZxllfV2
PIÉNSALO,Junior H,$AD BOYZ 4 LIFE II,https://api.spotify.com/v1/tracks/4ZOkfHC38nxSeSqzGE5HFr,spotify:track:4ZOkfHC38nxSeSqzGE5HFr
EN MI MUNDO,"Jasiel Nuñez, Peso Pluma",LA ODISEA,https://api.spotify.com/v1/tracks/0lQogzZgV4XwuUTasz3nPL,spotify:track:0lQogzZgV4XwuUTasz3nPL
Soltera,Shakira,Soltera,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,spotify:track:3OJDtCdYs8QJnui708tEU3
EL LOKERON,Tito Double P,INCÓMODO,https://api.spotify.com/v1/tracks/6X6m4xmdFcz31p1h7Qg68c,spotify:track:6X6m4xmdFcz31p1h7Qg68c
UWAIE,Kapo,UWAIE,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,spotify:track:5QjmUqgpPQgXgg4606DqZF
Frente al Mar,Beéle,Frente al Mar,https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB,spotify:track:60u6hcpH5Qm1M3xESdNBrB
DOS DÍAS,"Tito Double P, Peso Pluma",INCÓMODO,https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL,spotify:track:5lKFO0PrOC9jmOlPEdjHsL
Rey Sin Reina,Julión Álvarez y su Norteño Banda,Atento Aviso ... Rey Sin Reina,https://api.spotify.com/v1/tracks/0BiDnJFB3TlRB6aji7jUz3,spotify:track:0BiDnJFB3TlRB6aji7jUz3
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,spotify:track:2rOnSn2piaqLAlYjtfUBlY
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,spotify:track:2cGxRwrMyEAp8dEbuZaVv6
THE SHADE,Rex Orange County,WHO CARES?,https://api.spotify.com/v1/tracks/1gH1h30wkQdd9zhY3j7a8T,spotify:track:1gH1h30wkQdd9zhY3j7a8T
Vampire Empire,Big Thief,Vampire Empire,https://api.spotify.com/v1/tracks/0ToG55iJZCOzZkcpWbXxpW,spotify:track:0ToG55iJZCOzZkcpWbXxpW
Her,The American Dawn,Her,https://api.spotify.com/v1/tracks/2vlkTkPqdATznKHu9gD2c1,spotify:track:2vlkTkPqdATznKHu9gD2c1
Metamodernity,Vansire,Metamodernity,https://api.spotify.com/v1/tracks/4RGWHfQeJftd5XrP8JUgFj,spotify:track:4RGWHfQeJftd5XrP8JUgFj
ROCKMAN,Mk.gee,ROCKMAN,https://api.spotify.com/v1/tracks/63ABAnFKJCp28TAyqf2cGL,spotify:track:63ABAnFKJCp28TAyqf2cGL
