track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Se Voce Nao Quer Passa a Vez,"Mc Delux, DJ Guih Da ZO",Se Voce Nao Quer Passa a Vez,70,0.827,0.614,0.956,0.136,0.000259,129.949,https://api.spotify.com/v1/tracks/7snnTlaWaN39nfN1PhUaT8,spotify:track:7snnTlaWaN39nfN1PhUaT8,Feel-Good Hits
BRAZILIAN DANÇA PHONK,"6YNTHMANE, RXDXVIL",BRAZILIAN DANÇA PHONK,72,0.99,0.386,0.748,0.303,0.132,126.015,https://api.spotify.com/v1/tracks/6yVjjQA31SLM1kc4j5jPwF,spotify:track:6yVjjQA31SLM1kc4j5jPwF,Intense Hits
MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",MONTAGEM - PR FUNK,77,0.803,0.795,0.877,0.734,0.056,130.028,https://api.spotify.com/v1/tracks/6njJR3OIp3oA0Kc4aC9Tzf,spotify:track:6njJR3OIp3oA0Kc4aC9Tzf,Balanced / Versatile Mix
Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho",Faz um Vuk Vuk (Teto Espelhado),72,0.413,0.679,0.92,0.504,0.0514,130.078,https://api.spotify.com/v1/tracks/64CovjRwInpOJW4PiGMprY,spotify:track:64CovjRwInpOJW4PiGMprY,Balanced / Versatile Mix
Te Maceto Depois Do Baile,"DJ Zigão, DJ Lafon Do Md, Mc Rodrigo do CN, Mc Rf",Te Maceto Depois Do Baile,69,0.789,0.758,0.89,0.147,0.0,130.053,https://api.spotify.com/v1/tracks/448158cOtdLyR59DJnzpON,spotify:track:448158cOtdLyR59DJnzpON,Feel-Good Hits
MTG QUEM NÃO QUER SOU EU,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",MTG QUEM NÃO QUER SOU EU,77,0.427,0.443,0.492,0.364,0.00482,80.492,https://api.spotify.com/v1/tracks/6RjSXi9cPGroetXeNsWFGL,spotify:track:6RjSXi9cPGroetXeNsWFGL,Balanced / Versatile Mix
Ela Joga na Hora,"Mc Pogba, DJ Guih Da ZO",Ela Joga na Hora,78,0.669,0.843,0.949,0.36,0.000592,130.05,https://api.spotify.com/v1/tracks/6hZGsChumRhWG24OEh698c,spotify:track:6hZGsChumRhWG24OEh698c,Balanced / Versatile Mix
THE BOX MEDLEY FUNK 2,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",THE BOX MEDLEY FUNK 2,78,0.687,0.839,0.778,0.578,0.0105,117.008,https://api.spotify.com/v1/tracks/7IFsTX5H1sWcEl8joV0IdD,spotify:track:7IFsTX5H1sWcEl8joV0IdD,Balanced / Versatile Mix
Louca Encubada,"Dj Samir, Rodricci, Launch13",Louca Encubada,71,0.955,0.713,0.679,0.000737,0.235,130.068,https://api.spotify.com/v1/tracks/5pvVt1ak0vsGRE0Hl4kudu,spotify:track:5pvVt1ak0vsGRE0Hl4kudu,Feel-Good Hits
DANÇA PRA ME PROVOCAR,"DJ JOÃO PEREIRA, MC Koringa",DANÇA PRA ME PROVOCAR,68,0.582,0.892,0.615,0.269,6.55e-05,84.917,https://api.spotify.com/v1/tracks/6zdL0aLZs6g61SPGrlMvrM,spotify:track:6zdL0aLZs6g61SPGrlMvrM,Feel-Good Hits
